,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_approved,Credit_Score
0,LP001002,1,0,0,1,1,467920,0.0,10240.0,360.0,0,1,799
1,LP001003,1,1,1,1,1,366640,120640.0,10240.0,360.0,1,0,727
2,LP001005,1,1,0,1,1,240000,0.0,5280.0,360.0,0,1,782
3,LP001006,1,1,0,0,1,206640,188640.0,9600.0,360.0,0,1,722
4,LP001008,1,0,0,1,1,480000,0.0,11280.0,360.0,0,1,715
5,LP001011,1,1,2,1,1,433360,335680.0,21360.0,360.0,0,1,765
6,LP001013,1,1,0,0,1,186640,121280.0,7600.0,360.0,0,1,772
7,LP001014,1,1,3,1,1,242880,200320.0,12640.0,360.0,2,0,417
8,LP001018,1,1,2,1,1,320480,122080.0,13440.0,360.0,0,1,725
9,LP001020,1,1,1,1,1,1027280,877440.0,27920.0,360.0,2,0,721
10,LP001024,1,1,2,1,1,256000,56000.0,5600.0,360.0,0,1,767
11,LP001027,1,1,2,1,1,200000,147200.0,8720.0,360.0,0,1,700
12,LP001028,1,1,2,1,1,245840,648480.0,16000.0,360.0,0,1,719
13,LP001029,1,0,0,1,1,148240,227200.0,9120.0,360.0,1,0,781
14,LP001030,1,1,2,1,1,103920,86880.0,1360.0,120.0,0,1,799
15,LP001032,1,0,0,1,1,396000,0.0,10000.0,360.0,0,1,792
16,LP001034,1,0,1,0,1,287680,0.0,8000.0,240.0,0,1,596
17,LP001036,0,0,0,1,1,280800,0.0,6080.0,360.0,0,0,485
18,LP001038,1,1,0,0,1,390960,0.0,10640.0,360.0,1,0,792
19,LP001041,1,1,0,1,1,208000,280000.0,9200.0,360.0,0,1,796
20,LP001043,1,1,0,0,1,612800,0.0,8320.0,360.0,0,0,457
21,LP001046,1,1,1,1,1,476400,450000.0,25200.0,360.0,0,1,794
22,LP001047,1,1,0,0,1,208000,152880.0,9280.0,360.0,2,0,475
23,LP001050,1,1,2,0,1,269200,153360.0,8960.0,360.0,1,0,361
24,LP001052,1,1,1,1,1,297360,234000.0,12080.0,360.0,2,0,558
25,LP001066,1,1,0,1,1,764800,0.0,15280.0,360.0,2,1,762
26,LP001068,1,1,0,1,1,223920,180240.0,9760.0,360.0,2,1,721
27,LP001073,1,1,2,0,1,338080,83200.0,8800.0,360.0,0,1,703
28,LP001086,1,0,0,0,1,115360,0.0,2800.0,360.0,0,0,769
29,LP001087,0,0,2,1,1,300000,166640.0,9600.0,360.0,2,1,767
30,LP001091,1,1,1,1,1,333280,269520.0,16080.0,360.0,0,0,490
31,LP001095,1,0,0,1,1,253360,0.0,5920.0,360.0,0,0,775
32,LP001097,1,0,1,1,1,375360,0.0,8480.0,360.0,1,0,727
33,LP001098,1,1,0,1,1,280000,133360.0,9120.0,360.0,2,1,720
34,LP001100,1,0,3,1,1,1000000,240000.0,25600.0,360.0,1,0,777
35,LP001106,1,1,0,1,1,182000,165360.0,10240.0,360.0,0,1,754
36,LP001109,1,1,0,1,1,146240,106400.0,8000.0,360.0,0,0,480
37,LP001112,0,1,0,1,1,293360,116720.0,11520.0,360.0,2,1,717
38,LP001114,1,0,0,1,1,333280,576800.0,14720.0,360.0,0,1,751
39,LP001116,1,0,0,0,1,299840,133440.0,8800.0,360.0,2,1,800
40,LP001119,1,0,0,1,1,288000,0.0,6400.0,360.0,0,0,707
41,LP001120,1,0,0,1,1,144000,97040.0,3760.0,360.0,0,1,749
42,LP001123,1,1,0,1,1,192000,0.0,6000.0,360.0,0,1,445
43,LP001131,1,1,0,1,1,315280,186880.0,10720.0,360.0,2,1,762
44,LP001136,1,1,0,0,1,375600,0.0,7680.0,360.0,0,1,744
45,LP001137,0,0,0,1,1,272800,0.0,7040.0,360.0,0,1,735
46,LP001138,1,1,1,1,1,451920,0.0,3520.0,360.0,0,1,741
47,LP001144,1,1,0,1,1,465680,0.0,11520.0,360.0,0,1,734
48,LP001146,0,1,0,1,1,211600,275200.0,9600.0,360.0,0,0,386
49,LP001151,0,0,0,1,1,320000,182000.0,11520.0,360.0,2,1,762
50,LP001155,0,1,0,0,1,154240,131520.0,8000.0,360.0,2,1,731
51,LP001157,0,0,0,1,1,246880,0.0,9600.0,360.0,2,1,736
52,LP001164,0,0,0,1,1,338400,0.0,8960.0,360.0,2,0,706
53,LP001179,1,1,2,1,1,369280,0.0,10720.0,360.0,0,0,738
54,LP001186,0,1,1,1,1,920000,0.0,22880.0,360.0,0,0,519
